"CATEGORY","CLUE","COUNT","DIFFICULTY"
"14","this god gained the service of roskva and the aforementioned servant thialfi when the latter broke the thigh-bone of one of his goats.","1","4"
"14","this figure's grandfather, pittheus, founded troezen.","1","3"
"20","this home of the ainu is connected to its southern neighbor by the seikan tunnel underneath the tsugaru strait.","1","7"
"25","in one of this man's works, he argued that the design argument was flawed due to an incomplete analogy and lack of experience of multiple universes.","1","4"
"18","this country split the new world with spain in the treaty of tordesillas .","1","3"
"18","this leader lost favor over a 1962 war with china and failed to reach a compromise with muhammad ali jinnah, leading to the 1947 partition.","1","7"
"18","this man responded to the twelve articles in his against the murderous and robbing hordes during the peasants' war.","1","3"
"15","this poet asked ""why should a man wax tears, when his wooden world fails?""","1","8"
"17","this is the lightest metal to have one s-orbital electron above a filled d-electron shell.","1","7"
"18","the us intervened in this country in operation brother sam and also helped put down is 1893 naval mutiny.","1","9"
"18","an event outside this city saw  two monarchs set up tents on the ground between them.","1","8"
"21","the title track of one of this musician's albums is an adaptation of a song composed by rodgers and hammerstein and sung by julie andrews, and he also composed ""blue train.""","1","6"
"15","in this play, varya is in love with lopahkin, who eventually buys the title estate from madame ranevsky in a debt auction.","1","4"
"25","he wrote the essay ""on miracles,"" for 10 points, name this scottish philosopher who wrote a treatise of human nature and an enquiry concerning human understanding.","1","3"
"17","name this value invented by linus pauling measuring the ability of an atom to attract electrons, a value high in fluorine.","1","3"
"20","this city contains both the ""25th of april bridge"" and the longest bridge in europe, named for an explorer noted for his voyages to india.","1","7"
"15","another of this author's poems ends with the exclamation ""again the sun!","1","8"
"22","one variety of these arises in the sale of goods that are excludable but not rival.","1","4"
"17","two particles with opposite charges can undergo this process in an ""ambipolar"" fashion.","1","5"
"26","that election in this country alsoinvolved the loss of all seats by a party of a politician who suffered facial scarring after being poisonedwith dixin in 2004.","1","8"
"16","that character feeds copious amounts of food the spirit no-face while attempting to save her parents, who have been transformed into pigs.","1","4"
"25","this philosopher also theorized that a moral maxim is valid only if one could wish it to be made a universal law.","1","3"
"16","this man played the history teacher chuck noblet on amy sedaris's show strangers with candy.","1","3"
"18","with england, it developed apioneering supersonic airplane called the concorde.","1","5"
"18","this man's empire was divided following the death of his son louis the pious through the treaty of verdun.","1","6"
"17","that imaging technique utilizes a platinum-iridium probe controlled by a piezoelectric tube and amplifies signals from between the scanned material and the probe tip.","1","7"
"17","the second law of thermodynamics states all spontaneous processes lead to an increase in this property for the universe.","1","6"
"22","this psychologist posited that people underwent accommodation or assimilation to adapt new information about the world into an existing schema.","1","3"
"25","in another work about a mans thoughtlessness, this thinker moved from a theory of radical to banal evil.","1","7"
"15","one poem by this author opens ""i have done it again.","1","3"
"19","members of this religion believe in god as a total essence of the universe, as opposed to a supreme being above all existence.","1","7"
"18","the second defenestration of prague precipitated this conflict, whose participantsincluded albrecht von wallenstein and gustavus adolphus.","1","6"
"15","many of this poets verses were not widely available until they were disseminated after his death by robert bridges.","1","7"
"21","it is also played by the lincoln center jazz director who composed the jazz oratorio blood on the fields.","1","7"
"20","the bay of antongil is located on this country's east coast, and the island of nosy-be in this country was a stop on the russian baltic fleet's journey to japan.","1","5"
"15","after starting to speak latin, one character in this work is tied to a chestnut tree, and this work concludes with the translation of a text by the gypsy melquiades predicting the history of macondo.","1","3"
"17","this protein is imaged using fluorescentphalloidin, and in red blood cells it complexes with band 4.1 protein at the ends of spectrin.","1","5"
