"ANSWER","CATEGORY","CORRECTS","DIFFICULTY","ID","NEGS","RATING","SCORE","SIZE"
"hera","14","0","1","0","0","185.0","40.0","3"
"odin","14","0","1","1","0","185.0","40.0","3"
"hades","14","0","1","2","0","185.0","40.0","3"
"achilles","14","0","1","3","0","190.0","30.0","2"
"apollo","14","0","1","4","0","190.0","30.0","2"
"hermes","14","0","1","5","0","190.0","30.0","2"
"jason","14","0","1","6","0","190.0","30.0","2"
"ra","14","0","1","7","0","190.0","30.0","2"
"perseus","14","0","1","8","0","190.0","30.0","2"
"loki","14","0","1","9","0","190.0","30.0","2"
"anubis","14","0","1","10","0","190.0","30.0","2"
"moon","14","0","1","11","0","195.0","20.0","1"
"osiris","14","0","1","12","0","195.0","20.0","1"
"king arthur","14","0","1","13","0","195.0","20.0","1"
"aeneas","14","0","1","14","0","195.0","20.0","1"
"gilgamesh","14","0","1","15","0","195.0","20.0","1"
"japan","14","0","1","16","0","195.0","20.0","1"
"ares","14","0","1","17","0","195.0","20.0","1"
"dogs","14","0","1","18","0","195.0","20.0","1"
"heracles","14","0","1","19","0","195.0","20.0","1"
"lord of the flies","15","0","1","20","0","180.0","50.0","4"
"jonathan swift","15","0","1","21","0","180.0","50.0","4"
"romeo and juliet","15","0","1","22","0","180.0","50.0","4"
"robert lee frost","15","0","1","23","0","180.0","50.0","4"
"the canterbury tales","15","0","1","24","0","185.0","40.0","3"
"to kill a mockingbird","15","0","1","25","0","185.0","40.0","3"
"pride and prejudice","15","0","1","26","0","185.0","40.0","3"
"spanish","15","0","1","27","0","185.0","40.0","3"
"the red badge of courage","15","0","1","28","0","185.0","40.0","3"
"the last of the mohicans","15","0","1","29","0","185.0","40.0","3"
"nathaniel hawthorne","15","0","1","30","0","190.0","30.0","2"
"people's republic of china","15","0","1","31","0","190.0","30.0","2"
"henry wadsworth longfellow","15","0","1","32","0","190.0","30.0","2"
"beowulf","15","0","1","33","0","190.0","30.0","2"
"italian","15","0","1","34","0","190.0","30.0","2"
"dracula","15","0","1","35","0","190.0","30.0","2"
"the old man and the sea","15","0","1","36","0","190.0","30.0","2"
"ernest hemingway","15","0","1","37","0","190.0","30.0","2"
"sherlock holmes","15","0","1","38","0","190.0","30.0","2"
"jules verne","15","0","1","39","0","190.0","30.0","2"
"the crucible","15","0","1","40","0","190.0","30.0","2"
"leo tolstoy","15","0","1","41","0","190.0","30.0","2"
"jane eyre","15","0","1","42","0","190.0","30.0","2"
"the little prince","15","0","1","43","0","190.0","30.0","2"
"herman melville","15","0","1","44","0","190.0","30.0","2"
"edgar allen poe","15","0","1","45","0","190.0","30.0","2"
"the raven","15","0","1","46","0","190.0","30.0","2"
"emily elizabeth dickinson","15","0","1","47","0","195.0","20.0","1"
"ernest miller hemingway","15","0","1","48","0","195.0","20.0","1"
"the adventures of huckleberry finn","15","0","1","49","0","195.0","20.0","1"
"republic of south africa","15","0","1","50","0","195.0","20.0","1"
"kurt vonnegut","15","0","1","51","0","195.0","20.0","1"
"uncle tom's cabin","15","0","1","52","0","195.0","20.0","1"
"the decameron","15","0","1","53","0","195.0","20.0","1"
"the jungle","15","0","1","54","0","195.0","20.0","1"
"john steinbeck","15","0","1","55","0","195.0","20.0","1"
"james fenimore cooper","15","0","1","56","0","195.0","20.0","1"
"alfred, lord tennyson","15","0","1","57","0","195.0","20.0","1"
"the scarlet letter","15","0","1","58","0","195.0","20.0","1"
"washington irving","15","0","1","59","0","195.0","20.0","1"
"sonnets","15","0","1","60","0","195.0","20.0","1"
"athens","15","0","1","61","0","195.0","20.0","1"
